x,y,z
-0.027205,0.868403,-1.894252
0.001871,0.861143,-1.924082
-0.027361,0.880031,-1.902108
0.001896,0.879363,-1.946590
-0.038118,1.281291,-2.623593
0.002613,1.267997,-2.656937
-0.038379,1.299276,-2.637046
0.002631,1.285937,-2.670516
-0.038327,1.306704,-2.628907
0.002592,1.276034,-2.626429
-0.037335,1.281821,-2.556392
0.002581,1.279923,-2.611179
-0.036969,1.278110,-2.526914
0.002556,1.276629,-2.581591
0.002578,1.296357,-2.598590
0.002521,1.276661,-2.536874
0.002525,1.287329,-2.535964
-0.160172,1.427330,-2.542336
-0.158198,1.418500,-2.506050
-0.158198,1.427249,-2.501077
-0.156662,1.422040,-2.471841
-0.157320,1.436681,-2.477221
-0.158417,1.455412,-2.489423
-0.158198,1.462075,-2.480880
-0.159075,1.478882,-2.489499
-0.159953,1.495780,-2.498022
-0.161050,1.514820,-2.509876
-0.159953,1.513203,-2.487506
-0.158636,1.509362,-2.461773
-0.160611,1.536851,-2.487062
-0.160831,1.547645,-2.485066
-0.117216,1.304199,-2.547120
-0.161269,1.560570,-2.486406
-0.116398,1.303926,-2.524790
-0.076013,1.279497,-2.507383
-0.161269,1.569247,-2.480939
-0.116398,1.312738,-2.520220
-0.076445,1.295568,-2.517118
-0.159953,1.565026,-2.455232
-0.116234,1.319679,-2.512079
-0.076445,1.304356,-2.512575
-0.114924,1.313482,-2.479198
-0.077633,1.333531,-2.546968
-0.115415,1.327788,-2.485168
-0.076661,1.325620,-2.510469
-0.115415,1.336465,-2.480513
-0.076661,1.334386,-2.505821
-0.115415,1.344693,-2.476062
-0.077093,1.350701,-2.515234
-0.115743,1.357178,-2.478358
-0.077309,1.363291,-2.517530
-0.116725,1.377411,-2.494598
-0.077309,1.371632,-2.512995
-0.117052,1.389573,-2.496995
-0.077741,1.388118,-2.522199
-0.117551,1.398281,-2.492106
-0.077741,1.396485,-2.517576
-0.116894,1.398679,-2.473534
-0.077591,1.393557,-2.491729
-0.118373,1.425129,-2.499879
-0.078244,1.414040,-2.507742
-0.118209,1.431865,-2.491419
-0.079004,1.436187,-2.527368
-0.118044,1.438126,-2.483192
-0.078461,1.435073,-2.504986
-0.118702,1.454859,-2.491955
-0.078461,1.443385,-2.500206
-0.118538,1.461112,-2.483658
-0.078570,1.454139,-2.498594
-0.118044,1.463668,-2.468224
-0.079113,1.472979,-2.510741
-0.118538,1.478436,-2.473385
-0.079004,1.479272,-2.502394
-0.121497,1.523754,-2.530088
-0.078896,1.485961,-2.493774
-0.122178,1.534650,-2.528146
-0.079222,1.500407,-2.499111
-0.118545,1.497161,-2.448028
-0.079730,1.509125,-2.493841
-0.121022,1.537164,-2.493814
-0.080058,1.524077,-2.498793
-0.121517,1.552200,-2.498609
-0.080605,1.542836,-2.510750
-0.122343,1.571088,-2.510380
-0.080277,1.545285,-2.495145
-0.121352,1.567060,-2.484592
-0.080933,1.566260,-2.510354
-0.121682,1.579590,-2.486120
-0.080387,1.564385,-2.487938
-0.123829,1.616284,-2.524340
-0.080387,1.572637,-2.482731
-0.081480,1.602818,-2.510923
-0.163395,1.321800,-1.967619
-0.130771,1.314031,-1.984861
-0.163257,1.324170,-1.956360
-0.130990,1.323168,-1.983585
-0.162981,1.328411,-1.948655
-0.129674,1.316383,-1.959290
-0.163257,1.337472,-1.947290
-0.130306,1.325448,-1.957966
-0.164636,1.355623,-1.959012
-0.131626,1.345441,-1.973354
-0.164912,1.364401,-1.957774
-0.130526,1.341022,-1.952180
-0.161327,1.341425,-1.910537
-0.131626,1.359201,-1.963902
-0.162706,1.359281,-1.922364
-0.129645,1.345160,-1.929890
-0.162154,1.361363,-1.911100
-0.132287,1.379442,-1.964398
-0.164912,1.391310,-1.938744
-0.129645,1.358294,-1.920668
-0.165463,1.402413,-1.940582
-0.131186,1.381220,-1.938680
-0.164499,1.397427,-1.919515
-0.132067,1.397302,-1.946819
-0.166158,1.417948,-1.934175
-0.131847,1.401419,-1.938932
-0.163393,1.400993,-1.897107
-0.132485,1.410523,-1.937233
-0.143305,1.532665,-2.090363
-0.154566,1.660975,-2.248838
-0.039566,1.596275,-2.482871
-0.039513,1.602768,-2.473920
-0.123333,1.618158,-2.508884
-0.039918,1.606597,-2.461880
-0.122343,1.613849,-2.483107
