Observed cones colored
BLUE | x:-1.9160334159856158 y:2.204381662383321
BLUE | x:-12.653303477160645 y:11.014398839647216
BLUE | x:-9.024343344561768 y:11.296868636781616
BLUE | x:-10.51853516995163 y:11.446602239782257
BLUE | x:-6.061715412132454 y:9.78124593156044
BLUE | x:-7.7990050577380705 y:10.724582799184297
BLUE | x:-4.388654504543389 y:8.407181697330188
BLUE | x:-1.8053015857860566 y:4.303860893423003
BLUE | x:-14.93572506605835 y:9.691555574113769
BLUE | x:-2.143286744414944 y:5.865617826158448
YELLOW | x:3.0941677361801148 y:3.8269617106265255
YELLOW | x:-1.592423561207962 y:12.31804950493042
YELLOW | x:-2.9583561152145386 y:13.547355010682983
YELLOW | x:-10.736842009417725 y:16.301593218817956
YELLOW | x:-8.400014381599934 y:16.118696191484375
YELLOW | x:0.8716934353971834 y:9.394413416057207
YELLOW | x:-5.632816883914185 y:15.111324304913127
YELLOW | x:-0.11825191601366998 y:10.941470983201903
YELLOW | x:-4.270276718330892 y:14.396821175589801
YELLOW | x:1.878885560525658 y:7.966949676619043
YELLOW | x:2.713730689890671 y:6.108854487115783
YELLOW | x:-7.0076924294158935 y:15.6201933647937

BLUE | x:-5.68161981601766 y:4.672826046322427
BLUE | x:-7.223069462172699 y:5.85719956653778
BLUE | x:-9.806529137484741 y:7.031866743738097
YELLOW | x:1.1545634626538084 y:3.1279338126717278
YELLOW | x:-16.46095595061035 y:10.512935712510986
YELLOW | x:-14.712820315779332 y:11.232696539166783
YELLOW | x:-4.311062666766357 y:9.83529387041063
YELLOW | x:-6.867754297447714 y:11.3102519140389
YELLOW | x:-5.5515337573556085 y:10.551837211850497
YELLOW | x:-3.0590531867358517 y:8.911331274373287
YELLOW | x:-0.7641662945275625 y:6.448745976462606
YELLOW | x:-11.105738970629883 y:11.940582746838176
YELLOW | x:-12.846646878115845 y:11.786718045249225
YELLOW | x:0.4196604963466406 y:4.816234041824582
YELLOW | x:-1.912566635005188 y:7.867034390146179
YELLOW | x:-9.149065984281412 y:11.905936792070314

BLUE | x:-5.694245430819702 y:4.223887130195541
BLUE | x:-7.514168019088618 y:5.389975180799407
YELLOW | x:1.1332263008544012 y:3.759529034583696
YELLOW | x:-4.988378685934624 y:9.623394578654823
YELLOW | x:-3.767883787876214 y:8.793386636748554
YELLOW | x:-2.4623365014717105 y:7.957627000982208
YELLOW | x:-9.889442774645996 y:13.224227979356689
YELLOW | x:-1.0775481432601928 y:6.679113176042479
YELLOW | x:-6.70954447288564 y:10.624858562722446
YELLOW | x:0.2598015963277764 y:5.301596225541144
YELLOW | x:-11.144661101691437 y:15.316728546792907
YELLOW | x:-8.40194035867106 y:11.646118269934897

BLUE | x:-1.953194904319954 y:3.6320119992640048
BLUE | x:-2.3710722919893055 y:5.8870734584741875
BLUE | x:-2.4473820984289167 y:8.813702037507934
BLUE | x:-2.651320152871323 y:7.65623906391327
BLUE | x:-1.956387525647536 y:11.186822323859094
BLUE | x:-1.3405685007497787 y:13.337154104883117
BLUE | x:0.0024510116701205453 y:15.490374003424886
BLUE | x:1.6935383747095745 y:16.89266967234477
BLUE | x:3.571325130271403 y:18.01131483704644
BLUE | x:5.591508884238688 y:18.68771353818441
YELLOW | x:3.0257449219698587 y:2.5169262501014367
YELLOW | x:3.2139707992548625 y:11.430341286038004
YELLOW | x:3.834789893700833 y:12.35151027034519
YELLOW | x:10.173899653561401 y:14.533476283723758
YELLOW | x:2.7216548790608726 y:6.034357701316122
YELLOW | x:2.944208986567942 y:4.03297131714686
YELLOW | x:7.430032024646432 y:14.120003774339601
YELLOW | x:9.012887566693117 y:14.478299768144531
YELLOW | x:2.9081184244892544 y:10.181955962619492
YELLOW | x:11.966877884673563 y:14.9269520387795
YELLOW | x:5.3020445376708984 y:13.435593838070476
YELLOW | x:2.522583981438886 y:8.014347981525562

BLUE | x:-2.6702926287974043 y:3.26083955623174
BLUE | x:-13.536937045334009 y:10.13399656074707
BLUE | x:-11.892472657553864 y:9.955430700952453
BLUE | x:-9.625056836001587 y:9.600907598510029
BLUE | x:-6.923631813452488 y:9.135094398830972
BLUE | x:-5.140954692819892 y:8.57359860905583
BLUE | x:-2.671890390905253 y:5.076023944127535
BLUE | x:-3.6971999933247885 y:7.542872026140137
BLUE | x:-3.0270459383651733 y:6.455699994737548
YELLOW | x:2.2185435272472835 y:2.338014433358752
YELLOW | x:-12.949020716540527 y:14.84064710395996
YELLOW | x:-9.435208842150878 y:14.613683107072752
YELLOW | x:-1.2685458183978349 y:11.845682056857251
YELLOW | x:2.3136025424588884 y:4.150303432206667
YELLOW | x:-3.1075883716270445 y:13.003912367994232
