x,y,z
-0.166379,1.135329,1.912802
-0.115819,1.646711,2.224568
-0.120380,2.434579,2.215498
-0.102366,2.931809,2.189301
-0.126723,1.889819,1.549600
-0.128920,3.781669,2.204730
-0.149594,3.297732,2.188500
-0.053977,2.929256,1.883521
-0.148662,1.417249,1.336697
-0.108444,3.179557,1.608926
-0.011301,6.905046,2.210758
-0.107752,4.948388,2.163735
-0.039506,4.347765,1.553276
0.947821,8.495804,2.196954
-0.045803,4.033597,1.234123
-0.247271,3.347342,0.885733
-0.246552,2.800960,0.693314
-0.051083,17.210325,1.878237
-0.041620,12.494777,1.425220
-0.098302,6.260571,1.004750
-0.057928,17.611713,0.377682
-0.060419,17.027670,0.146231
-0.060052,15.699692,1.451921
-0.070916,10.392852,1.126019
-0.058621,11.093154,0.405743
-0.097933,8.444587,0.590161
-0.109312,7.039174,0.436049
-0.056727,19.244175,0.140003
-0.028952,18.607691,-0.244145
1.118331,10.631758,-4.553692
0.966818,9.667730,-4.600564
0.214002,5.258449,-2.523402
-0.245050,2.591492,-1.255404
-0.114450,3.323579,-1.775069
-0.102037,3.627690,-2.525094
-0.119159,2.089886,-1.925012
-0.113974,3.784525,-3.919101
-0.151747,2.538368,-2.527333
-0.121056,1.843523,-2.223292
-0.114297,1.358084,-1.902753
-0.104360,1.463613,-2.480195
-0.020440,0.880192,-1.896213
-0.241847,1.307451,-0.475951
-0.047667,4.691165,-1.711259
-0.039694,8.886041,-2.474821
-0.008234,6.332035,-2.541946
0.068502,9.156523,-3.720649
0.165457,9.465246,-3.797570
-0.090646,7.429135,-0.878476
-0.085417,9.728970,-1.786139
-0.062986,12.660935,-2.161109
-0.054969,16.463234,-2.611008
-0.057664,17.298374,-2.606940
-0.053515,17.929235,-2.614755
-0.117221,4.993153,-0.093457
-0.062737,11.666684,-1.009248
-0.061028,12.056756,-0.851039
-0.064144,17.948122,-0.485057
