x,y,z
-0.146813,0.929594,-1.157742
-0.127159,0.938284,-1.168533
-0.127421,0.942159,-1.165382
-0.105996,0.951596,-1.149455
-0.105712,0.952851,-1.143225
-0.147860,0.954160,-1.147918
-0.148255,0.964523,-1.144435
-0.152717,0.962764,-1.207670
-0.085912,0.959956,-1.159814
-0.109397,0.994096,-1.176325
-0.127760,0.968343,-1.148936
-0.307950,1.302735,-1.480562
-0.311383,1.336010,-1.477286
-0.315090,1.367246,-1.480864
-0.310765,1.363467,-1.446556
-0.190589,1.624328,-0.967075
-0.191392,1.634550,-0.965443
-0.112259,1.641407,-0.974127
-0.162545,1.612680,-0.952493
-0.161854,1.609125,-0.942818
-0.133863,1.597522,-0.911231
-0.187781,1.616629,-0.925004
-0.111320,1.640848,-0.943420
-0.162199,1.622213,-0.928166
-0.162891,1.632377,-0.926427
-0.139132,1.669290,-0.921878
-0.163565,1.642105,-0.917215
-0.210340,1.581360,-0.916875
-0.058831,1.627352,-0.963291
-0.084591,1.624123,-0.943117
-0.083871,1.613559,-0.929457
-0.084771,1.633982,-0.934010
-0.212169,1.613995,-0.891482
-0.167518,2.685215,-0.871289
-0.089677,2.706722,-0.894156
-0.088293,2.671052,-0.861713
-0.127688,2.684365,-0.841273
-0.010344,2.718468,-0.862398
-0.088796,2.692263,-0.847826
-0.089174,2.706664,-0.841971
-0.010344,2.724431,-0.843372
-0.049314,2.687512,-0.825948
-0.128777,2.715990,-0.820010
-0.067752,3.688849,-0.858337
-0.014982,3.662072,-0.887032
-0.067680,3.690857,-0.831654
-0.014998,3.672077,-0.862329
-0.067680,3.693741,-0.818751
-0.015030,3.682863,-0.851293
-0.067466,3.684718,-0.803919
-0.026019,6.538572,0.265188
-0.025733,6.463527,0.330052
-0.101163,5.578839,0.925556
-0.022536,5.599673,0.877144
-0.101163,5.575736,0.944074
-0.022536,5.596573,0.896708
-0.155274,4.752393,1.115395
-0.086711,4.707411,1.155795
-0.019324,4.729856,1.117001
-0.154892,4.736799,1.129216
-0.086139,4.672298,1.164502
-0.183684,3.800113,1.298384
-0.072259,3.810685,1.339799
-0.185512,3.828665,1.338101
-0.185512,3.824201,1.350806
-0.230971,2.816906,1.377108
-0.187571,2.823016,1.380328
-0.230971,2.802559,1.406076
-0.142380,2.828094,1.356912
-0.141110,2.798159,1.354599
-0.222232,1.836200,1.198581
-0.190316,1.825243,1.191475
-0.161440,1.829861,1.225076
-0.161732,1.828876,1.233694
-0.219005,1.793061,1.206048
-0.130318,1.824832,1.221885
-0.188229,1.788791,1.203201
-0.248588,1.801551,1.180187
-0.250881,1.810012,1.203437
-0.099938,1.830008,1.224213
-0.099757,1.822405,1.228368
-0.162025,1.819133,1.255053
-0.220618,1.793442,1.233790
-0.133399,1.854758,1.270269
-0.194144,1.831887,1.260287
-0.244460,1.747121,1.197178
-0.246753,1.755234,1.220398
-0.249505,1.770486,1.240204
-0.137864,0.916545,1.011595
-0.119555,0.923078,1.018839
-0.138027,0.912119,1.020962
-0.136422,0.897981,1.012235
-0.121390,0.928225,1.046364
-0.157037,0.915845,1.020278
-0.158403,0.920207,1.032372
-0.157948,0.910527,1.035634
