# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; 6.468; -91.234; 91.463
3.0; 0.138; 24.443; -116.862; 119.391
6.0; 0.277; 4.426; -101.304; 101.400
9.0; 0.419; 4.242; -85.261; 85.367
12.0; 0.562; 6.257; -81.157; 81.398
15.0; 0.707; 3.999; -82.713; 82.810
18.0; 0.854; 3.244; -67.326; 67.404
21.0; 0.999; 2.607; -47.691; 47.762
24.0; 1.142; 2.117; -29.899; 29.974
27.0; 1.283; 1.876; 27.530; 27.593
30.0; 1.423; 0.469; -0.089; 0.477
33.0; 1.561; 0.062; 0.423; 0.428
36.0; 1.699; 0.410; -1.072; 1.148
39.0; 1.834; 1.846; 4.811; 5.153
42.0; 1.968; 1.831; 6.496; 6.749
45.0; 2.100; 1.868; 8.293; 8.501
48.0; 2.230; 1.793; 7.177; 7.398
51.0; 2.358; 1.782; 6.113; 6.368
54.0; 2.486; 1.361; 3.652; 3.897
57.0; 2.612; 0.775; 2.158; 2.293
60.0; 2.738; 0.017; -0.911; 0.912
63.0; 2.863; 0.703; 4.948; 4.997
66.0; 2.987; 1.591; 14.013; 14.103
69.0; 3.110; 1.233; 0.915; 1.535
72.0; 3.233; 1.575; 127.813; 127.823
75.0; 3.354; 0.617; -0.159; 0.637
78.0; 3.475; 8.760; -69.723; 70.271
81.0; 3.594; 1.174; 26.372; 26.398
84.0; 3.710; 1.671; -10.479; 10.611
87.0; 3.824; 1.864; -33.309; 33.361
90.0; 3.938; 3.121; -70.912; 70.981
93.0; 4.052; 5.333; -92.563; 92.716
96.0; 4.166; 6.748; -111.697; 111.900
99.0; 4.283; -7.778; -109.206; 109.483
102.0; 4.408; 4.705; -114.633; 114.730
105.0; 4.544; 6.268; -80.434; 80.678
108.0; 4.681; 12.733; -142.990; 143.556
111.0; 4.817; -21.225; -107.698; 109.769
114.0; 4.949; 22.159; -146.388; 148.055
117.0; 5.068; 20.922; -113.515; 115.427
120.0; 5.195; 11.871; -144.062; 144.550
123.0; 5.327; 38.467; -170.023; 174.320
126.0; 5.448; 8.131; -120.726; 121.000
129.0; 5.560; 8.314; -116.793; 117.089
132.0; 5.675; 7.558; -112.494; 112.747
135.0; 5.801; 8.072; -102.713; 103.029
138.0; 5.940; 5.974; -84.465; 84.676
141.0; 6.089; 11.168; -99.897; 100.519
144.0; 6.243; 7.731; -117.372; 117.626
147.0; 6.387; 8.512; -61.317; 61.905
150.0; 6.526; 4.610; -141.544; 141.619
153.0; 6.661; 6.770; -130.714; 130.889
156.0; 6.791; 11.868; -114.292; 114.906
159.0; 6.921; 32.720; -142.553; 146.260
162.0; 7.051; 6.024; -106.723; 106.893
165.0; 7.178; 6.338; -109.727; 109.910
168.0; 7.303; 10.644; -119.116; 119.591
171.0; 7.427; 9.467; -124.223; 124.583
174.0; 7.549; 5.535; -92.490; 92.655
177.0; 7.667; 3.544; -50.080; 50.205
180.0; 7.784; 3.817; -9.449; 10.191
183.0; 7.901; 2.506; 89.855; 89.890
186.0; 8.016; 2.681; 15.386; 15.618
189.0; 8.130; 0.125; -5.444; 5.446
192.0; 8.242; 1.945; 161.083; 161.095
195.0; 8.354; -0.611; 2.409; 2.486
198.0; 8.465; -1.027; -137.782; 137.786
201.0; 8.577; -0.038; 3.385; 3.385
204.0; 8.688; -0.687; -0.360; 0.776
207.0; 8.800; 0.028; 13.137; 13.137
210.0; 8.911; 0.715; 63.874; 63.878
213.0; 9.021; 0.647; 66.752; 66.755
216.0; 9.131; 0.067; 10.815; 10.815
219.0; 9.241; -0.323; 4.168; 4.180
222.0; 9.351; 0.174; -4.431; 4.434
225.0; 9.460; -0.002; 3.325; 3.325
228.0; 9.570; 0.457; 15.670; 15.677
231.0; 9.678; 0.521; 18.899; 18.906
234.0; 9.787; 0.524; 12.301; 12.312
237.0; 9.895; -0.277; 18.057; 18.059
240.0; 10.002; 0.682; -22.525; 22.535
243.0; 10.109; 1.321; -58.426; 58.441
246.0; 10.216; 2.237; -101.435; 101.459
249.0; 10.324; 3.958; -113.793; 113.862
252.0; 10.433; -1.523; -112.826; 112.836
255.0; 10.545; 9.359; -117.649; 118.020
258.0; 10.663; -3.536; -106.334; 106.393
261.0; 10.790; 4.237; -108.051; 108.134
264.0; 10.920; -6.394; -78.836; 79.095
267.0; 11.054; 15.607; -148.188; 149.008
270.0; 11.194; -19.657; -107.638; 109.418
273.0; 11.340; 17.103; -153.745; 154.694
276.0; 11.462; 19.552; -125.377; 126.893
279.0; 11.583; 31.472; -160.298; 163.358
282.0; 11.706; 6.721; -118.544; 118.734
285.0; 11.824; 13.516; -111.635; 112.451
288.0; 11.939; 7.051; -117.568; 117.780
291.0; 12.062; 12.897; -109.179; 109.938
294.0; 12.199; 7.425; -84.941; 85.265
297.0; 12.340; 23.888; -116.083; 118.516
300.0; 12.478; 10.856; -114.261; 114.775
303.0; 12.619; 11.412; -92.003; 92.708
306.0; 12.752; 32.764; -158.004; 161.365
309.0; 12.877; 14.872; -108.237; 109.254
312.0; 13.019; 6.468; -91.234; 91.463
