# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.34993; 3722.5; -92.0; 92208.0
3.0; 0.138; 0.11643; 1479.3; -2470.1; 86549.4
6.0; 0.277; 0.08800; 5048.9; -3801.3; 83232.3
9.0; 0.419; 0.08283; 4727.9; -1179.7; 81566.3
12.0; 0.562; 0.06466; 3126.3; -1420.2; 92380.1
15.0; 0.707; 0.04717; 3155.4; -1009.1; 95029.2
18.0; 0.854; 0.03045; 3268.5; -756.9; 94472.4
21.0; 0.999; 0.01211; 3355.4; -656.7; 86600.2
24.0; 1.142; -0.00126; 3350.3; -609.0; 135627.1
27.0; 1.283; -0.02621; 1270.6; -200.6; 11519.9
30.0; 1.423; -0.00960; 2696.3; -2111.2; 17466.6
33.0; 1.561; -0.01758; 2687.6; -1647.1; 21031.2
36.0; 1.699; -0.03870; 3255.0; -651.4; 31643.2
39.0; 1.834; -0.03775; 3204.8; -655.4; 36073.5
42.0; 1.968; -0.03468; 3203.3; -628.1; 40873.6
45.0; 2.100; -0.03095; 3168.6; -633.9; 38297.5
48.0; 2.230; -0.02568; 3186.0; -610.1; 35666.9
51.0; 2.358; -0.01924; 2942.8; -797.5; 27578.4
54.0; 2.486; -0.01103; 2628.1; -1145.4; 22458.9
57.0; 2.612; -0.01274; 2587.1; -1976.4; 5757.5
60.0; 2.738; -0.00480; 2570.2; -1157.8; 23184.0
63.0; 2.863; 0.00792; 3124.2; -544.1; 57525.7
66.0; 2.987; -0.00071; 2948.9; -866.9; -1039.0
69.0; 3.110; 0.00273; 3147.4; -449.5; -285182.7
72.0; 3.233; 0.01273; 2812.8; -1458.5; 2246.7
75.0; 3.354; 0.01459; 3170.2; -395.6; -4489475.4
78.0; 3.475; 0.01631; 3216.0; -346.6; 356699.2
81.0; 3.594; 0.02506; 3094.1; -498.9; 44941.9
84.0; 3.710; 0.04928; 2843.6; -819.2; 59707.2
87.0; 3.824; 0.06358; 2772.0; -916.7; 82208.8
90.0; 3.938; 0.07358; 3308.8; -228.8; 91476.0
93.0; 4.052; 0.07915; 3913.7; -196.4; 98984.5
96.0; 4.166; 0.10842; 46.0; -15351.8; 98622.9
99.0; 4.283; 0.34494; 28.4; -19620.6; 98249.9
102.0; 4.408; 0.32961; 3941.3; -13193.9; 73389.3
105.0; 4.544; 0.22968; 3692.3; -7503.6; 107246.0
108.0; 4.681; -0.10903; 159.3; -18207.1; 89239.3
111.0; 4.817; 0.25395; 5580.7; -926.1; 109302.8
114.0; 4.949; 0.23363; 6993.3; -11.3; 90300.4
117.0; 5.068; 0.22933; 5024.8; -11921.1; 105867.9
120.0; 5.195; 0.34999; 6986.6; -10.5; 120192.7
123.0; 5.327; 0.16447; 179.9; -608.0; 104843.9
126.0; 5.448; 0.14938; 1100.3; -0.5; 102703.2
129.0; 5.560; 0.15506; 1015.9; -815.0; 99969.1
132.0; 5.675; 0.14626; 2007.5; -28.8; 92545.1
135.0; 5.801; 0.14129; 524.5; -15.8; 85046.2
138.0; 5.940; 0.34994; 164.2; -9304.8; 88944.6
141.0; 6.089; 0.19538; 1647.2; -5654.6; 93036.1
144.0; 6.243; 0.09845; 6559.5; -3.7; 56566.6
147.0; 6.387; 0.18392; 1498.1; -10704.7; 106019.8
150.0; 6.526; 0.08914; 3431.7; -1826.2; 99239.9
153.0; 6.661; 0.09913; 6991.8; -5.0; 87438.5
156.0; 6.791; 0.35000; 6995.7; -34.8; 106222.3
159.0; 6.921; 0.15464; 8.4; -1108.0; 93820.6
162.0; 7.051; 0.08458; 3056.0; -455.0; 107004.5
165.0; 7.178; 0.07704; 6997.7; -1.4; 108669.3
168.0; 7.303; 0.05788; 6925.2; -4.6; 128541.2
171.0; 7.427; 0.04298; 4548.5; -82.4; 135681.2
174.0; 7.549; 0.03201; 3830.5; -98.5; 126093.0
177.0; 7.667; 0.01713; 3915.6; -98.2; 235334.9
180.0; 7.784; 0.00250; 3897.4; -94.1; -166515.1
183.0; 7.901; -0.00701; 3964.8; -116.2; -62839.9
186.0; 8.016; -0.03330; 2066.8; -1130.9; 5095.5
189.0; 8.130; -0.02413; 2492.8; -1974.8; -150161.9
192.0; 8.242; -0.00404; 2605.1; -2644.6; 4092.4
195.0; 8.354; -0.01053; 2488.8; -2110.7; 229582.1
198.0; 8.465; -0.01303; 2562.4; -1898.1; 74760.8
201.0; 8.577; 0.00101; 2325.3; -2454.2; 8156.1
204.0; 8.688; -0.00720; 2536.3; -1839.4; -84038.5
207.0; 8.800; -0.01662; 2556.6; -1704.6; -142300.9
210.0; 8.911; -0.01177; 2555.7; -1676.5; -170705.6
213.0; 9.021; -0.01205; 2523.0; -1823.3; -71026.5
216.0; 9.131; -0.00099; 2694.9; -2373.8; 21888.0
219.0; 9.241; -0.01497; 2635.8; -1668.8; -9753.1
222.0; 9.351; -0.01591; 2551.1; -1873.6; 24499.6
225.0; 9.460; -0.01314; 2588.9; -1460.6; 56167.4
228.0; 9.570; -0.00783; 2610.5; -1365.5; 64005.1
231.0; 9.678; 0.00304; 2655.0; -1258.0; 54082.2
234.0; 9.787; 0.01904; 2656.1; -1180.0; 259997.4
237.0; 9.895; 0.03265; 2595.5; -1369.6; 68201.5
240.0; 10.002; 0.04419; 2509.0; -1668.9; 93416.5
243.0; 10.109; 0.05076; 2439.7; -1930.6; 112664.1
246.0; 10.216; 0.05861; 2684.2; -971.3; 109833.9
249.0; 10.324; 0.07319; 2559.0; -8239.9; 101488.4
252.0; 10.433; 0.07858; 6890.8; -310.4; 102684.7
255.0; 10.545; 0.12908; 23.6; -11102.8; 95832.3
258.0; 10.663; 0.34996; 149.9; -18895.1; 92641.9
261.0; 10.790; 0.23756; 74.0; -19174.4; 70974.0
264.0; 10.920; 0.27163; 2882.5; -7700.3; 110082.2
267.0; 11.054; -0.12236; 219.7; -15587.5; 90497.5
270.0; 11.194; 0.17510; 5939.2; -1109.9; 112609.2
273.0; 11.340; 0.20748; 6993.9; -9.3; 92683.6
276.0; 11.462; 0.34999; 6994.3; -5511.6; 114762.8
279.0; 11.583; 0.15865; 7.1; -1761.2; 100185.0
282.0; 11.706; 0.15481; 6997.1; -1.3; 97722.7
285.0; 11.824; 0.13472; 1235.8; -799.5; 103404.0
288.0; 11.939; 0.13660; 6998.7; -0.9; 93220.5
