# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 30.11; -0.00288; 0.00457; -0.37387; 0.01312
3.0; 0.101; 29.67; -0.03723; -0.09142; -0.38588; 0.02060
6.0; 0.203; 29.25; -0.00277; -0.09330; -0.35794; 0.02003
9.0; 0.314; 25.92; -0.00421; -0.08234; -0.32915; 0.02067
12.0; 0.441; 22.70; -0.00674; -0.08899; -0.30554; 0.02039
15.0; 0.586; 20.24; -0.00799; -0.09698; -0.29167; 0.01788
18.0; 0.744; 17.76; -0.00979; -0.09638; -0.28732; 0.01420
21.0; 0.915; 16.21; -0.01016; -0.09209; -0.29228; 0.00966
24.0; 1.091; 15.96; -0.00970; -0.08454; -0.30320; 0.00535
27.0; 1.259; 19.73; -0.00744; -0.08071; -0.31410; 0.00305
30.0; 1.394; 26.05; -0.00526; -0.07663; -0.32049; 0.00271
33.0; 1.501; 30.46; -0.00374; -0.06848; -0.32245; 0.00268
36.0; 1.599; 31.32; -0.00266; -0.05174; -0.32038; 0.00243
39.0; 1.695; 31.14; -0.00200; -0.03284; -0.31529; 0.00220
42.0; 1.792; 30.79; -0.00162; -0.01880; -0.30822; 0.00210
45.0; 1.890; 30.45; -0.00163; -0.01059; -0.30039; 0.00197
48.0; 1.990; 30.15; 0.00154; -0.00738; -0.29413; 0.00165
51.0; 2.090; 29.87; 0.00378; -0.00602; -0.29061; 0.00101
54.0; 2.191; 30.06; 0.01553; -0.00443; -0.26758; -0.00036
57.0; 2.291; 30.07; 0.00998; -0.00462; -0.27935; -0.00221
60.0; 2.392; 30.13; 0.00524; -0.00401; -0.29314; -0.00340
63.0; 2.492; 30.18; 0.00391; -0.00249; -0.31059; -0.00413
66.0; 2.592; 30.21; 0.00323; -0.00054; -0.33037; -0.00425
69.0; 2.692; 30.19; 0.00281; 0.00131; -0.35022; -0.00360
72.0; 2.792; 30.12; 0.00265; 0.00243; -0.36712; -0.00217
75.0; 2.892; 29.99; 0.00253; 0.00070; -0.37827; -0.00024
78.0; 2.993; 29.77; 0.00232; -0.00593; -0.38258; 0.00151
81.0; 3.095; 29.47; 0.00310; -0.01242; -0.38096; 0.00246
84.0; 3.198; 29.16; 0.01349; 0.01880; -0.37297; 0.00394
87.0; 3.301; 29.47; 0.01027; 0.00592; -0.36439; 0.00550
90.0; 3.404; 29.80; 0.00527; 0.00164; -0.34431; 0.00638
93.0; 3.505; 30.03; 0.00417; -0.00079; -0.32172; 0.00678
96.0; 3.606; 30.18; 0.00373; -0.00302; -0.29825; 0.00688
99.0; 3.706; 30.27; 0.00351; -0.00489; -0.27460; 0.00680
102.0; 3.806; 30.33; 0.00336; -0.00662; -0.25115; 0.00659
105.0; 3.905; 30.36; 0.00324; -0.00824; -0.22821; 0.00630
108.0; 4.005; 30.38; 0.00314; -0.00978; -0.20597; 0.00595
111.0; 4.104; 30.38; 0.00306; -0.01130; -0.18454; 0.00553
