# 05052747-2293-4019-bb7a-a7328a437853
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.6906905; -0.1119891; 1.2398811; -10.8640574; 23.0738274; -1.4670538
0.9996729; 0.6866507; 0.3760496; -0.2884340; -0.3199733; 23.0101796; -1.4630015
1.9993458; 1.0842940; 1.4029267; -0.4066715; -0.0273159; 22.9465317; -1.4589491
2.9990188; 1.6117359; 2.6173489; -0.3986640; 0.0403362; 22.8828839; -6.8675161
3.9986917; 2.0323004; 3.7248719; -0.3209212; 0.0775724; 22.5808732; -8.1057581
4.9983646; 2.3075281; 4.6739846; -0.2451105; 0.0675072; 22.2191274; -7.9748552
5.9980375; 2.5068475; 5.5592724; -0.2061249; 0.0135291; 21.8573815; -2.9715447
6.9977104; 2.6994737; 6.4843830; -0.2040169; 0.0088966; 21.7210493; -0.5894224
7.9973834; 2.8945595; 7.4656122; -0.1852907; 0.0282586; 21.6939052; -0.5886854
8.9970563; 3.0644831; 8.4707313; -0.1460836; 0.0493998; 21.6667611; -2.3175347
9.9967292; 3.1838429; 9.4779033; -0.0892121; 0.0543034; 21.5595683; -3.4853351
10.9964021; 3.2477213; 10.4766473; -0.0404873; 0.0425977; 21.3973502; -3.4590118
11.9960750; 3.2691151; 11.4695342; -0.0048754; 0.0288742; 21.2351320; -2.9942716
12.9957479; 3.2617155; 12.4644781; 0.0185808; 0.0215695; 21.0937016; -2.6047395
13.9954209; 3.2325690; 13.4633614; 0.0395811; 0.0204899; 20.9698945; -2.5894062
14.9950938; 3.1828673; 14.4630301; 0.0596224; 0.0195836; 20.8460873; -1.0489600
15.9947667; 3.1136175; 15.4612920; 0.0786474; 0.0180810; 20.7957236; 0.5019776
16.9944396; 3.0264394; 16.4572449; 0.0955943; 0.0158130; 20.8198403; 0.5025594
17.9941125; 2.9235756; 17.4512876; 0.1102487; 0.0135101; 20.8439569; 1.0567289
18.9937855; 2.8072826; 18.4439704; 0.1226237; 0.0113283; 20.8945760; 1.7327940
19.9934584; 2.6797131; 19.4355367; 0.1329456; 0.0093230; 20.9773154; 1.7396421
20.9931313; 2.5429088; 20.4258538; 0.1412682; 0.0073282; 21.0600547; 1.8565705
21.9928042; 2.3988257; 21.4153103; 0.1476137; 0.0054019; 21.1479983; 2.0247180
22.9924771; 2.2493693; 22.4041439; 0.1520976; 0.0035646; 21.2434918; 2.0338400
23.9921501; 2.0964826; 23.3918396; 0.1547405; 0.0017229; 21.3389853; 2.0289549
24.9918230; 1.9418753; 24.3792860; 0.1556865; 0.0006749; 21.4338255; 2.0137426
25.9914959; 1.7864286; 25.3671395; 0.1565243; 0.0010009; 21.5275415; 2.0225281
26.9911688; 1.6300828; 26.3542732; 0.1576876; 0.0013271; 21.6212575; 1.6496942
27.9908417; 1.4724370; 27.3411955; 0.1590999; 0.0011896; 21.6973981; 0.8893386
28.9905147; 1.3136072; 28.3284291; 0.1597559; 0.0001223; 21.7383344; 0.8910149
29.9901876; 1.1547144; 29.3152851; 0.1593439; -0.0009470; 21.7792706; 0.8069856
30.9898605; 0.9967555; 30.3023114; 0.1578358; -0.0021908; 21.8162800; 0.6102204
31.9895334; 0.8409127; 31.2901857; 0.1548224; -0.0038364; 21.8442238; 0.6110015
32.9892063; 0.6889455; 32.2780976; 0.1501631; -0.0054880; 21.8721676; 0.7323913
33.9888793; 0.5424087; 33.2667764; 0.1438402; -0.0072128; 21.9056162; 1.0510208
34.9885522; 0.4029078; 34.2573021; 0.1356718; -0.0091212; 21.9535276; 1.0533170
35.9882251; 0.2725561; 35.2482279; 0.1255971; -0.0110412; 22.0014390; 1.3835526
36.9878980; 0.1531746; 36.2402440; 0.1136784; -0.0123645; 22.0642135; 2.3464449
37.9875709; 0.0458012; 37.2345637; 0.1015365; -0.0119149; 22.1702701; 2.3576965
38.9872438; -0.0496598; 38.2294550; 0.0898565; -0.0114560; 22.2763266; 2.3404481
39.9869168; -0.1337099; 39.2252147; 0.0786223; -0.0111450; 22.3811101; 2.2620931
40.9865897; -0.2066579; 40.2224305; 0.0673921; -0.0113180; 22.4819215; 2.2722593
41.9862626; -0.2683002; 41.2201211; 0.0559920; -0.0114915; 22.5827330; 2.2649259
