# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00086; 3442.8; -10389.2; -73409.5
3.0; 0.101; -0.00955; 3454.8; -9812.3; 962349.9
6.0; 0.203; -0.00885; 3450.1; -9846.0; 7184585.2
9.0; 0.314; -0.01069; 3432.1; -9977.4; 7742747.9
12.0; 0.441; -0.01379; 3425.6; -10024.8; 9188340.0
15.0; 0.586; -0.01577; 3421.9; -10051.6; 8713083.8
18.0; 0.744; -0.01663; 3427.2; -10013.4; 10359741.7
21.0; 0.915; -0.01558; 3428.4; -10004.9; 11008614.2
24.0; 1.091; -0.01211; 3428.2; -10006.5; 11485427.0
27.0; 1.259; -0.00843; 3429.8; -9995.1; 9786645.9
30.0; 1.394; -0.00628; 3436.6; -9944.7; 7301480.8
33.0; 1.501; -0.00472; 3445.5; -9879.3; 4790208.6
36.0; 1.599; -0.00317; 3453.5; -9821.3; 3196722.8
39.0; 1.695; -0.00184; 3459.6; -9777.2; 2172310.9
42.0; 1.792; -0.00105; 3463.3; -9750.4; 1444612.9
45.0; 1.890; -0.00075; 3464.5; -9741.7; 847301.7
48.0; 1.990; -0.00064; 3463.9; -9745.5; 369796.9
51.0; 2.090; 0.00071; 4352.9; -5639.9; 24250.1
54.0; 2.191; -0.00131; 3488.1; -9564.5; -205859.1
57.0; 2.291; -0.00054; 3479.5; -9632.5; -354973.2
60.0; 2.392; -0.00031; 3477.2; -9649.3; -465223.8
63.0; 2.492; -0.00009; 3475.6; -9661.4; -565466.1
66.0; 2.592; 0.00011; 3474.2; -9671.3; -660666.3
69.0; 2.692; 0.00022; 3472.9; -9680.8; -714171.3
72.0; 2.792; 0.00005; 3471.3; -9692.6; -724780.3
75.0; 2.892; -0.00061; 3468.9; -9709.8; -697850.8
78.0; 2.993; -0.00132; 3465.7; -9732.6; -499790.8
81.0; 3.095; -0.00028; 3476.9; -9648.8; -164003.0
84.0; 3.198; 0.00020; 3442.6; -9898.1; 117360.2
87.0; 3.301; 0.00014; 3484.9; -9594.8; 277920.0
90.0; 3.404; -0.00011; 3480.6; -9625.2; 354058.0
93.0; 3.505; -0.00034; 3477.5; -9647.5; 388189.9
96.0; 3.606; -0.00053; 3475.6; -9661.1; 403991.3
99.0; 3.706; -0.00071; 3474.4; -9669.0; 411972.4
102.0; 3.806; -0.00088; 3473.8; -9673.5; 416465.4
105.0; 3.905; -0.00104; 3473.5; -9675.9; 419261.1
108.0; 4.005; -0.00120; 3473.3; -9677.2; 421141.9
111.0; 4.104; -0.00136; 3473.1; -9677.8; 422481.7
114.0; 4.203; -0.00153; 3473.1; -9678.1; 423476.2
117.0; 4.303; -0.00171; 3473.1; -9678.2; 424235.9
120.0; 4.402; -0.00191; 3473.1; -9678.2; 424827.1
123.0; 4.502; -0.00210; 3473.1; -9678.0; 425291.4
126.0; 4.601; -0.00229; 3473.1; -9677.8; 425654.0
129.0; 4.701; -0.00247; 3473.1; -9677.6; 425931.9
132.0; 4.800; -0.00263; 3473.2; -9677.3; 426138.7
135.0; 4.899; -0.00276; 3473.2; -9677.1; 426286.0
138.0; 4.999; -0.00288; 3473.2; -9676.9; 426386.1
141.0; 5.098; -0.00297; 3473.2; -9676.7; 426451.8
144.0; 5.198; -0.00305; 3473.3; -9676.6; 426492.6
147.0; 5.297; -0.00310; 3473.3; -9676.6; 426512.3
150.0; 5.397; -0.00312; 3473.3; -9676.7; 426509.5
153.0; 5.496; -0.00311; 3473.2; -9676.9; 426478.4
156.0; 5.596; -0.00307; 3473.2; -9677.1; 426415.3
159.0; 5.695; -0.00303; 3473.2; -9677.4; 426323.5
162.0; 5.794; -0.00297; 3473.2; -9677.6; 426212.6
165.0; 5.894; -0.00292; 3473.1; -9677.8; 426093.0
168.0; 5.993; -0.00288; 3473.1; -9677.9; 425973.4
171.0; 6.093; -0.00285; 3473.1; -9678.1; 425859.0
174.0; 6.192; -0.00283; 3473.1; -9678.1; 425752.9
177.0; 6.291; -0.00283; 3473.1; -9678.1; 425658.5
180.0; 6.391; -0.00284; 3473.1; -9678.1; 425580.3
183.0; 6.490; -0.00286; 3473.1; -9678.1; 425518.5
186.0; 6.590; -0.00287; 3473.1; -9678.1; 425465.4
189.0; 6.689; -0.00287; 3473.1; -9678.2; 425407.2
192.0; 6.788; -0.00285; 3473.1; -9678.3; 425334.1
195.0; 6.888; -0.00281; 3473.0; -9678.4; 425240.9
198.0; 6.987; -0.00275; 3473.0; -9678.6; 425124.1
201.0; 7.087; -0.00268; 3473.0; -9678.8; 424986.9
204.0; 7.186; -0.00263; 3473.0; -9678.9; 424841.4
207.0; 7.286; -0.00262; 3473.0; -9679.0; 424704.2
210.0; 7.385; -0.00264; 3473.0; -9679.0; 424594.6
213.0; 7.485; -0.00272; 3473.0; -9678.9; 424528.8
216.0; 7.584; -0.00283; 3473.0; -9678.8; 424510.9
219.0; 7.683; -0.00296; 3473.0; -9678.7; 424528.8
222.0; 7.783; -0.00305; 3473.0; -9678.8; 424554.7
225.0; 7.882; -0.00309; 3473.0; -9679.1; 424548.6
228.0; 7.982; -0.00304; 3473.0; -9679.5; 424465.1
231.0; 8.081; -0.00291; 3472.9; -9679.9; 424254.5
234.0; 8.181; -0.00272; 3472.9; -9680.3; 423866.2
237.0; 8.281; -0.00249; 3472.9; -9680.6; 423258.1
240.0; 8.380; -0.00224; 3472.8; -9680.8; 422402.5
243.0; 8.480; -0.00199; 3472.8; -9681.0; 421275.4
246.0; 8.579; -0.00175; 3472.8; -9681.0; 419825.7
249.0; 8.679; -0.00153; 3472.8; -9681.1; 417942.6
252.0; 8.778; -0.00132; 3472.8; -9681.0; 415428.3
255.0; 8.878; -0.00113; 3472.9; -9680.9; 411964.7
258.0; 8.977; -0.00094; 3472.9; -9680.7; 407081.0
261.0; 9.077; -0.00077; 3472.9; -9680.5; 400086.5
264.0; 9.176; -0.00061; 3473.0; -9680.0; 389913.1
267.0; 9.276; -0.00045; 3473.1; -9679.2; 374841.2
270.0; 9.375; -0.00030; 3473.3; -9677.7; 352011.3
273.0; 9.475; -0.00013; 3473.6; -9675.1; 316762.5
276.0; 9.574; 0.00007; 3473.9; -9672.3; 261783.9
279.0; 9.673; 0.00086; 3468.9; -9701.9; 175497.7
282.0; 9.772; 0.00271; 3505.6; -9430.8; 59269.4
285.0; 9.870; 0.00190; 3468.4; -9713.3; 299984.4
288.0; 9.969; 0.00069; 3471.1; -9692.8; 1923022.5
291.0; 10.068; 0.00050; 3471.9; -9687.4; 640200.7
294.0; 10.168; 0.00037; 3472.2; -9685.1; 395514.7
297.0; 10.267; 0.00030; 3472.3; -9684.5; 275961.8
300.0; 10.367; 0.00028; 3472.7; -9681.5; 290779.3
303.0; 10.466; 0.00029; 3473.0; -9678.9; 333401.3
306.0; 10.566; 0.00035; 3473.1; -9678.2; 366701.5
309.0; 10.666; 0.00047; 3473.1; -9678.4; 387296.3
312.0; 10.766; 0.00063; 3473.0; -9678.9; 399349.7
315.0; 10.865; 0.00082; 3472.9; -9679.3; 406463.2
318.0; 10.965; 0.00104; 3472.8; -9679.5; 410812.9
321.0; 11.065; 0.00129; 3472.8; -9679.5; 413563.0
324.0; 11.165; 0.00154; 3472.8; -9679.3; 415340.3
327.0; 11.264; 0.00178; 3472.9; -9678.9; 416488.9
330.0; 11.364; 0.00195; 3472.9; -9678.5; 417202.4
333.0; 11.464; 0.00203; 3472.9; -9678.0; 417584.3
336.0; 11.564; 0.00198; 3473.0; -9677.6; 417669.5
339.0; 11.664; 0.00179; 3473.0; -9677.2; 417449.3
342.0; 11.763; 0.00145; 3473.0; -9677.1; 416855.8
345.0; 11.863; 0.00103; 3473.0; -9677.3; 415755.2
